Category,Game,Items,Item Details,game_devices,game_regions,game_servers,game_series,game_orbs,game_dependent_items
Currency,"
World of Warcraft WotLK",Dependent,"Region: EU,NA,Oceaic ||  Faction:Alliance,Horde ||Server :Different",,,,,,"[{""item_type"":""game_regions"",""item_id"":[""EU"",""NA"",""Oceanic""],""is_dependent"":true,""dependent_to"":""game_servers"",""dependencies"":[{""parent_id"":""EU"",""item_id"":[""Amnennar"",""Ashbringer"",""Auberdine"",""Chromie"",""Earthshaker"",""Everlook"",""Firemaw"",""Flamegor"",""Gehennas"",""Giantstalker"",""Golemagg"",""Jin’do"",""Lakeshire"",""Mandokir"",""Mirage Raceway"",""Mograine"",""Nethergarde Keep"",""Patchwerk"",""Pyrewood Village"",""Razorfen"",""Razorgore"",""Sulfuron"",""Thekal"",""Transcendence"",""Venoxis""]},{""parent_id"":""NA"",""item_id"":[""Angerforge"",""Ashkandi"",""Atiesh"",""Azuresong"",""Benediction"",""Bloodsail Buccaneers"",""Earthfury"",""Eranikus"",""Faerlina"",""Grobbulus"",""Maladath"",""Mankrik"",""Myzrael"",""Old Blanchy"",""Pagle"",""Skyfury"",""Sulfuras"",""Westfall"",""Whitemane"",""Windseeker""]},{""parent_id"":""Oceanic"",""item_id"":[""Arugal"",""Remulos"",""Yojamba""]}]},{""item_type"":""game_factions"",""item_id"":[""Alliance"",""Horde""],""is_dependent"":false}]"
Currency,Escape from Tarkov,Simple,,,,,,,
Currency,Path of Exile,"Orb,Device,Server","Orbs,Device,Server","PC,Playstation,Xbox",,"Hardcore,Ruthless,Ruthless Hardcore, Sanctum,Sanctum Hardcore, Standard",,"Ancient Orb,Blessed Orb,Cartographer's Chisel,Chaos Orb,
Chromatic Orb,Divine Orb,Eternal Orb,Exalted Orb,Gemcutter's Prism,Harbinger's Orb,Jeweller's Orb,Mirror of Kalandra,Orb of Alchemy,Orb of Alteration,Orb of Annulment,Orb of Chance,Orb of Fusing,Orb of Horizons,Orb of Regret,Orb of Scouring,Regal Orb,Vaal Orb",
Currency,Fallout 76,Device,"Device:PC,Playstation,Xbox","PC,Playstation,Xbox",,,,,
Currency,Black Desert Online,"Device,Region","Device:PC,Playstation,Xbox","PC,Playstation,Xbox","EU,Japan,Korea,MENA,NA,Russia,SEA,SouthAmerica",,,,
Currency,GTA 5,Device,"Device:PC,Playstation 4,PlayStation 5,Xbox One,Xbox Series X/S","PC,Playstation 4,PlayStation 5,Xbox One,Xbox Series X/S",,,,,
Currency,"
Elder Scrolls Online","Device,Region","Device:PC,Playstation,Xbox","PC,Playstation,Xbox","EU,NA",,,,
Currency,Temtem,Simple,,,,,,,
Currency,New World,Dependent,"Region:AP Southeast, EU Southeast, SA East,US East,US West",,,,,,"[{""item_type"":""game_regions"",""item_id"":[""AP Southeast"",""EU Central"",""SA East"",""US East"",""US West""],""is_dependent"":true,""dependent_to"":""game_servers"",""dependencies"":[{""parent_id"":""AP Southeast"",""item_id"":[""Delos"",""Sutekh""]},{""parent_id"":""EU Central"",""item_id"":[""Aaru"",""Abaton"",""Artemis"",""Asgard"",""Barri"",""Cleopatra"",""Crassus"",""Kronos"",""Nysa"",""Nyx""]},{""parent_id"":""SA East"",""item_id"":[""Artorius"",""Devaloka"",""Gaea""]},{""parent_id"":""US East"",""item_id"":[""Amarah"",""Castle of Steel"",""Lilith"",""Maramma"",""Orofena"",""Seer"",""Valhalla""]},{""parent_id"":""US West"",""item_id"":[""El Dorado"",""Isabella""]}]}]"
Currency,EVE Online,Simple,,,,,,,
Currency,EVE Echoes,Device,"Device:Android,IOS","Android,IOS",,,,,
Currency,Albion Online,Simple,,,,,,,
Currency,Lost Ark,Dependent,"Region:EU Central,EU West, Korea, Russia,SA,US East,US west","Server 1st Dependent:Agaton,Arcturus,Gienah,Kazeros,Vern ",,,,,"[{""item_type"":""game_regions"",""item_id"":[""EU Central"",""EU West"",""Korea"",""Russia"",""SA"",""US East"",""US West""],""is_dependent"":true,""dependent_to"":""game_servers"",""dependencies"":[{""parent_id"":""EU Central"",""item_id"":[""Antares"",""Armen"",""Asta"",""Calvasus"",""Evergrace"",""Ezrebet"",""Kadan"",""Lazenith"",""Mokoko"",""Neria"",""Slen"",""Thirain"",""Trixion"",""Wei"",""Zinnervale""]},{""parent_id"":""EU West"",""item_id"":[""Moonkeep"",""Punika"",""Rethramis"",""Tortoyk""]},{""parent_id"":""Korea"",""item_id"":[""Abrelshud"",""Aman"",""Cardan"",""Carmine"",""Cazeroth"",""Cillian"",""Lupeon"",""Ninab""]},{""parent_id"":""Russia"",""item_id"":[""Alderan"",""Kratos""]},{""parent_id"":""SA"",""item_id"":[""Agaton"",""Arcturus"",""Gienah"",""Kazeros"",""Vern""]},{""parent_id"":""US East"",""item_id"":[""Adrinne"",""Aldebaran"",""Avesta"",""Azena"",""Danube"",""Elzowin"",""Galatur"",""Karta"",""Kharmine"",""Ladon"",""Regulus"",""Sasha"",""Una"",""Vykas"",""Zosma""]},{""parent_id"":""US West"",""item_id"":[""Akkan"",""Bergstrom"",""Enviska"",""Mari"",""Rohendel"",""Shandi"",""Valtan""]}]}]"
Currency,Guild Wars 2,Region,"Region:EU,NA",,"EU,NA",,,,
Currency,Final Fantasy XI,Server,,,,"Asura,Bahamut,Bismarck,Carbuncle,Cerberus,Fenrir,Lakshmi,Leviathan,Odin,Phoenix,Quetzalcoatl,Ragnarok,Shiva,Siren,Sylph,Valefor
",,,
Currency,Final Fantasy XIV,Dependent,Server,,,,,,"[{""item_type"":""game_regions"",""item_id"":[""EU"",""JP"",""NA"",""OC""],""is_dependent"":true,""dependent_to"":""game_servers"",""dependencies"":[{""parent_id"":""EU"",""item_id"":[""Alpha"",""Cerberus"",""Lich"",""Louisoix"",""Moogle"",""Odin"",""Omega"",""Phantom"",""Phoenix"",""Ragnarok"",""Raiden"",""Sagittarius"",""Shiva"",""Spriggan"",""Twintania"",""Zodiark""]},{""parent_id"":""JP"",""item_id"":[""Aegis"",""Alexander"",""Anima"",""Asura"",""Atomos"",""Bahamut"",""Belias"",""Carbuncle"",""Chocobo"",""Durandal"",""Fenrir"",""Garuda"",""Gungnir"",""Hades"",""Ifrit"",""Ixion"",""Kujata"",""Mandragora"",""Masamune"",""Pandaemonium"",""Ramuh"",""Ridill"",""Shinryu"",""Tiamat"",""Titan"",""Tonberry"",""Typhon"",""Ultima"",""Unicorn"",""Valefor"",""Yojimbo"",""Zeromus""]},{""parent_id"":""NA"",""item_id"":[""Adamantoise"",""Balmung"",""Behemoth"",""Brynhildr"",""Cactuar"",""Coeurl"",""Diabolos"",""Excalibur"",""Exodus"",""Faerie"",""Famfrit"",""Gilgamesh"",""Goblin"",""Halicarnassus"",""Hyperion"",""Jenova"",""Lamia"",""Leviathan"",""Maduin"",""Malboro"",""Marilith"",""Mateus"",""Midgardsormr"",""Sargatanas"",""Seraph"",""Siren"",""Ultros"",""Zalera""]},{""parent_id"":""OC"",""item_id"":[""Bismarck"",""Ravana"",""Sephirot"",""Sophia"",""Zurvan""]}]}]"
Currency,Roblox,Simple,,,,,,,
Currency,Elite: Dangerous,Simple,,,,,,,
Currency,8 Ball Pool,Simple,,,,,,,
Currency,Dofus,Server,"Sever:Draconiros,Hell Mina,Imagiro,Orukam,Shadow,Tal Kasha,Tylezia",,,"Draconiros,Hell Mina,Imagiro,Orukam,Shadow,Tal Kasha,Tylezia",,,
Currency,RuneScape 3 (Gold),Simple,,,,,,,
Currency,WoW Classic (Gold),Dependent,"Region:EU,NA & OC ||| Faction:Alliance,Horde","Realm 1st dependent:Bonecythe,Dreadnaught,Ironfoe,Kingsfall,Quel'Serrar",,,,,"[{""item_type"":""game_regions"",""item_id"":[""EU"",""NA & OC""],""is_dependent"":true,""dependent_to"":""game_servers"",""dependencies"":[{""parent_id"":""EU"",""item_id"":[""Bonescythe"",""Dreadnaught"",""Ironfoe"",""Kingsfall"",""Quel’Serrar""]},{""parent_id"":""NA & OC"",""item_id"":[""Barman Shanker"",""Jom Gabbar"",""Lionheart"",""Mutanus"",""Nightfall"",""Obsidian Edge"",""Shadowstrike"",""Swamp of Sorrows""]}]},{""item_type"":""game_factions"",""item_id"":[""Alliance"",""Horde""],""is_dependent"":false}]"
Currency,FIFA (Coins),"Serie,Device","Game series: FIFA 22, FIFA23 ||| Device:PC,Playstation,Xbox","PC,Playstation,Xbox",,,"FIFA 22, FIFA 23",,
Currency,Trove (Flux),Device,"Patform/Device:Nintendo Switch,PC,Playstation,Xbox","Nintendo Switch,PC,Playstation,Xbox",,,,,
